#,Tag,Games with this tag,Votes for this tag,Tag weight,Price (median),Userscore (median),Owners (median),Playtime (median)
58,Local Co-Op,265,"17,631",67,3.24  $,86%,"2,540,000",03:39
59,Local Multiplayer,259,"11,416",44,3.74  $,84%,"2,540,000",03:26
60,Controller,255,"9,190",36,2.99  $,85%,"4,600,000",03:22
61,Replay Value,241,"26,066",108,2.99  $,86%,"3,490,000",04:02
62,Memes,233,"15,822",68,2.49  $,84%,"2,220,000",03:06
63,Building,232,"61,657",266,5.99  $,77%,"2,220,000",04:16
64,RTS,220,"22,840",104,3.74  $,83%,"2,860,000",04:19
65,Fast-Paced,217,"17,417",80,2.49  $,86%,"2,220,000",02:31
66,Crafting,216,"71,747",332,4.99  $,75%,"2,860,000",04:20
67,Turn-Based Strategy,216,"20,679",96,4.99  $,80.5%,"2,220,000",04:05
68,Side Scroller,214,"8,773",41,2.99  $,85%,"2,540,000",03:44
69,Action RPG,210,"30,705",146,3.99  $,82%,"4,760,000",04:58
70,Mystery,207,"12,752",62,2.64  $,85%,"1,590,000",02:22
71,Shoot 'Em Up,205,"5,823",28,2.44  $,85%,"950,000",03:12
72,Dark,204,"25,692",126,2.99  $,86%,"3,170,000",03:25
73,Management,204,"15,272",75,4.99  $,76%,"2,220,000",03:57
74,Survival Horror,202,"37,020",183,3.79  $,80%,"4,760,000",03:05
75,Hack and Slash,200,"21,490",107,3.99  $,80%,"3,970,000",04:33
76,Physics,196,"23,379",119,3.99  $,85%,"2,860,000",02:09
77,War,194,"33,307",172,3.99  $,82%,"6,350,000",04:26
78,Historical,193,"25,154",130,4.79  $,83%,"3,170,000",04:10
79,Stealth,190,"48,548",256,3.54  $,84%,"5,710,000",04:12
80,Rogue-lite,181,"7,533",42,3.99  $,82%,"1,590,000",04:01
81,PvP,172,"46,368",270,0.00  $,69%,"6,670,000",02:24
82,Realistic,169,"32,659",193,4.99  $,81%,"4,130,000",04:15
83,Short,166,"9,950",60,1.79  $,85%,"2,700,000",02:18
84,Moddable,162,"47,173",291,4.49  $,90%,"8,890,000",05:12
85,Isometric,162,"8,688",54,3.74  $,83.5%,"2,220,000",02:49
86,Relaxing,161,"9,030",56,1.49  $,81%,"1,590,000",02:05
87,RPGMaker,161,"4,253",26,1.24  $,80%,"1,110,000",03:07
88,Third-Person Shooter,157,"43,656",278,2.49  $,79%,"7,300,000",03:47
89,Bullet Hell,156,"10,525",67,2.99  $,85%,"950,000",03:15
90,Top-Down,155,"7,815",50,2.99  $,84%,"2,220,000",03:19
91,Walking Simulator,155,"16,957",109,3.99  $,75%,"2,540,000",02:59
92,Dungeon Crawler,152,"10,319",68,3.91  $,82%,"1,270,000",03:23
93,Fighting,149,"17,506",117,3.99  $,82%,"2,380,000",04:01
94,JRPG,149,"12,670",85,5.99  $,84%,"1,900,000",05:44
95,Colorful,148,"7,986",54,3.74  $,86%,"2,220,000",03:02
